class,RP,ST,WCIMD,AR,MS,DS,LD,TLC,MDLC,H1LC,CWC,DA,PA,HTTP or HTTPs,OL,IL,IMGL,Backlinks,Traffic,DSX,SMR,CT,WC,RTS,SDMS,SMU,KWURL,QWURL,KWMD,KWT
J,10,5,32,40,23,52,4,38,169,25,1256,100,81,1,139,128,6,1628,56985,14,17,1,5,1,6,1,1,0,1,1
K,91,5,23,6630985,19,75,5.4,62,134,64,366,28,36,1,62,57,7,128332,1669,14,518092,1,2,1,4,1,0,0,0,0
L,92,5,23,0,17,21,6.8,64,156,0,1196,21,23,0,89,78,25,110,76,13,4306797,1,2,1,4,1,0,0,0,0
M,93,5,33,3182813,13,67,2,4,129,0,348,5,8,1,177,141,25,57,292,26,5588728,1,2,1,0,0,0,0,0,0
N,94,5,27,37856,13,52,12.1,35,157,22,1973,69,60,1,276,258,0,112,343,14,34012,1,2,1,0,0,1,0,0,0
O,95,5,33,2840,5,79,3,53,225,36,2156,71,60,1,653,619,29,276,881,14,1553,1,5,1,5,1,0,0,0,0
P,96,5,40,12569,19,53,1.8,90,247,29,1713,45,46,1,602,598,208,362,14620,26,61558,1,6,1,6,1,0,0,1,0
Q,97,5,29,9515104,12,34,5.3,52,164,19,974,12,27,1,109,99,22,367,155,14,1200042,1,5,1,1,1,0,0,0,0
R,98,5,39,1786603,20,34,3.8,43,222,0,849,44,48,1,460,455,72,7450,11844,13,1075156,1,20,1,0,0,0,0,0,0
S,99,5,21,25402,40,64,2.4,49,133,0,6512,63,57,1,1,1,0,268,216,14,32267,0,6,1,0,0,0,0,0,0
T,100,5,24,7015442,7,43,3.9,43,117,12,740,34,47,1,241,229,77,11,253,14,855360,0,6,1,0,0,0,0,0,0
A,1,1,10,522,96,34,1.5,48,57,34,2474,89,70,1,268,257,18,5,146,14,552,1,2,1,8,1,1,0,1,1
B,2,5,30,355,45,44,1,58,161,0,9,93,77,1,6,1,0,3451,12,14,54,1,18,0,0,0,1,1,1,1
C,3,3,28,260574,43,97,1.3,55,152,55,2129,67,54,1,137,126,7,1385,301,14,159958,1,15,1,15,1,1,1,1,1
D,4,3,33,355,41,36,1.3,58,174,0,56,93,77,1,1,1,0,1385,1,14,54,1,18,0,0,0,1,0,0,1
E,5,3,19,4262,41,41,1.3,67,107,24,5770,86,61,1,264,90,31,489,33386,14,1594,1,6,1,7,1,1,1,1,1
F,6,3,22,926,40,68,2.1,54,137,42,2216,92,76,1,112,65,2,134,738,14,959,1,5,1,0,0,1,0,1,1
G,7,3,18,2126,34,41,2.3,39,93,31,3197,90,67,1,249,104,47,40,81042,14,623,1,6,1,7,1,1,1,1,1
H,8,5,16,844,31,40,2.4,40,95,48,3237,92,68,1,185,109,24,12,2743,14,142,1,15,1,7,1,1,1,1,1
I,9,5,19,4262,23,56,2.9,67,107,24,5770,86,61,1,264,90,31,1,33386,14,1594,1,2,1,7,1,1,1,1,1
J,10,5,12,5807,21,42,2.9,46,66,33,2765,86,52,1,456,56,63,0,30392,14,12000,1,21,1,6,1,1,0,1,1
K,91,5,19,6055,17,82,2.9,43,89,45,1840,88,68,1,118,63,0,136,741,14,913,1,2,1,2,1,1,1,1,1
L,92,5,23,1004751,14,66,3.6,57,139,41,5263,9,26,1,199,173,12,28,20,48,990154,1,2,1,6,1,1,1,1,1
M,93,5,27,3741,12,30,4.3,64,156,14,3487,80,59,1,308,286,13,711,33372,13,7714,1,5,1,2,1,1,0,1,1
N,94,5,28,288989,11,34,3.8,84,163,62,2472,29,25,1,154,147,6,1,3,14,235733,1,2,1,13,1,1,0,1,1
O,95,5,19,15283,9,45,3,59,100,48,4338,89,64,1,138,98,29,194,0,14,1556,0,2,1,6,1,1,1,1,1
P,96,5,23,39460,89,98,0.9,41,145,42,2242,50,44,1,77,69,13,38,1009,40,9786,1,2,1,8,1,1,0,0,1
Q,97,5,24,7286,32,79,1.6,108,157,108,728,88,64,1,56,54,11,7,5793,14,1347,1,15,1,3,1,1,0,1,1
R,98,5,27,3382,31,59,2.5,108,151,0,2140,91,64,1,0,0,0,34,0,14,3862,1,15,1,0,0,1,0,1,1
S,99,5,54,1313,16,31,3.6,31,303,31,2060,94,81,1,270,239,35,78,85,13,1340,1,25,1,7,1,1,1,1,1
T,100,5,27,1222,12,24,4.8,32,151,0,5483,79,61,1,0,0,0,106,11052,11,12234,1,5,1,0,0,1,1,1,1
A,1,1,2,1263826,79,94,1.2,32,151,14,4233,7,16,1,732,712,0,22,0,14,368266,1,5,1,7,1,0,0,1,1
B,2,5,32,3085,52,34,1.6,83,13,18,621,53,54,1,80,76,1,1261,1239,26,25428,1,20,1,0,0,1,0,1,1
C,3,5,29,1224035,48,74,1.6,51,181,24,4807,15,21,1,1370,1067,48,113,742,14,324733,0,2,1,0,0,0,0,1,0
D,4,3,32,3085,48,20,1.9,61,157,11,438,53,54,1,46,44,0,113,1239,26,25428,1,20,1,0,0,0,0,1,1
E,5,3,33,696,41,31,2.1,60,174,35,4885,93,74,1,203,81,31,109,213858,14,136,1,25,1,5,1,1,1,0,0
F,6,3,19,3065,40,38,2.3,41,108,26,1018,92,72,1,114,53,12,48,278,14,228,1,2,1,6,1,0,0,0,0
G,7,3,26,233152,38,74,2.8,58,148,58,1105,35,38,1,63,49,10,25,48,14,302856,1,2,1,10,1,1,1,0,0
H,8,5,20,4262,31,37,4.2,50,102,60,3835,86,61,1,175,127,15,4,14072,14,1594,1,6,1,6,1,0,0,1,1
I,9,5,38,886682,26,78,4.3,78,218,13,1318,28,26,1,43,42,2,190,18583,14,193921,1,2,1,0,0,0,0,0,0
J,10,5,25,4529,23,63,5.7,69,149,13,2085,79,57,1,160,117,14,64,5461,14,8892,1,5,1,1,1,0,0,1,0
K,91,5,22,329,19,78,5.7,27,151,29,2655,93,75,1,667,576,17,19556,191563,14,425,0,6,1,2,1,0,0,0,0
L,92,5,20,47363,18,32,1.5,84,123,0,1801,83,52,1,1,0,0,0,0,14,4371,1,15,1,0,0,0,0,0,0
M,93,5,27,13,15,100,1.3,18,164,6,12917,98,89,1,1519,1253,35,45895,8713,40,1,1,28,1,3,1,0,0,0,0
N,94,5,22,31463,8,40,3.6,38,133,7,2254,68,57,1,770,762,41,387,25562,14,47744,1,6,1,1,1,0,0,0,0
O,95,5,25,651,4,69,2,20,146,0,644,93,72,1,241,227,36,3570,188548,14,1043,1,6,1,2,1,0,0,0,0
P,96,5,19,3065,20,40,4.5,41,108,26,1018,92,72,1,114,53,12,3328,109487,14,228,1,6,1,6,1,0,0,0,0
Q,97,5,19,89,8,59,3.2,39,121,7,4454,93,78,1,845,762,49,150,366,14,12,1,6,1,2,1,0,0,0,0
R,98,5,12,2157,14,30,7.1,49,82,0,1120,92,73,1,127,90,8,32,0,14,1121,1,13,1,3,1,1,1,0,0
S,99,5,26,402,76,81,1,67,149,77,894,94,80,1,184,79,1,9,7,14,58,1,15,1,0,0,0,0,0,0
T,100,5,31,62324,54,97,2.1,35,161,35,463,63,63,1,27,27,2,4,48,14,13124,1,2,1,0,0,1,1,0,0
A,1,5,17,768,94,95,7.6,64,94,56,3100,92,71,1,295,241,7,388,17741,14,173,1,6,1,7,1,1,1,1,1
B,2,1,41,212,81,95,1.5,53,238,40,7302,93,73,1,369,346,73,49,50,14,179,1,9,1,10,1,1,0,1,1
C,3,3,23,8009,78,95,0.8,36,120,36,1087,63,50,1,157,124,38,45,10844,14,4713,1,9,1,11,1,1,0,1,1
D,4,3,30,4351,78,61,0.9,40,155,0,234,72,50,1,0,0,0,21,66,14,2271,0,2,1,0,0,1,1,1,1
E,5,3,30,2002,55,50,0.9,43,170,33,290,85,64,1,59,55,6,13,113,14,608,1,2,1,4,1,0,1,1,0
F,6,5,36,593,47,47,1.1,99,186,107,1778,90,59,1,139,91,23,6,406,14,1330,0,21,1,3,1,1,0,1,1
G,7,5,26,329,38,47,1.4,47,156,0,33,93,75,1,0,0,0,0,0,14,425,0,6,1,0,0,0,1,0,0
H,8,5,25,355,30,47,1.4,51,151,0,9,93,77,1,6,1,0,0,108,14,54,1,18,0,0,0,1,1,0,1
I,9,5,23,7950,26,95,1.7,36,120,36,1087,63,50,1,157,124,38,4,100,14,4713,1,9,1,11,1,1,0,0,1
J,10,5,20,2852,24,27,2,66,106,17,2073,89,48,1,456,54,2,93,7614,14,3434,1,20,1,9,1,1,0,1,0
K,91,5,32,3297,20,30,3.5,105,160,78,2840,74,56,1,185,135,39,164,374,14,4842,1,9,1,7,1,1,1,1,1
L,92,5,10,8831,18,49,4.5,58,58,58,15609,81,58,1,734,711,13,0,0,14,5486,1,2,1,0,0,0,0,0,0
M,93,5,27,0,15,94,5.9,40,161,0,570,13,22,1,0,0,0,190,86,14,5555873,0,2,1,0,0,0,0,0,0
N,94,5,21,950684,13,65,2.3,62,104,42,58719,50,50,0,829,825,2,0,0,14,485390,1,19,1,1,1,0,0,0,0
O,95,5,1,0,10,56,1.5,0,0,0,1107,10,9,0,0,0,0,0,0,30,2400218,0,2,1,0,0,0,1,0,0
P,96,5,1,0,4,65,1.5,0,0,0,1644,10,8,0,0,0,0,0,0,30,1569780,0,19,1,0,0,0,0,0,0
Q,97,5,4,0,98,100,0.6,26,26,0,2181,16,17,0,0,0,0,0,0,30,1181613,0,2,1,0,0,0,0,0,0
R,98,5,54,0,100,100,0.5,27,246,27,2403,10,19,1,0,0,0,0,0,30,8265376,0,19,1,0,0,1,0,1,1
S,99,5,1,0,17,66,0.7,60,0,0,2718,13,17,0,0,0,0,0,0,30,2946779,0,2,1,0,0,0,1,0,0
T,100,5,1,0,100,100,0.6,32,0,0,3255,14,17,0,0,0,0,4,98,30,5651949,0,19,1,0,0,0,0,0,0
A,1,1,25,61749,95,90,1.4,55,138,55,1587,60,47,1,191,173,19,33,27,41,150012,1,25,1,15,1,1,0,1,1
B,2,3,25,303275,48,90,1.4,55,144,10,739,12,31,1,238,233,3,426,118,41,1558695,0,6,1,5,1,1,0,1,1
C,3,3,33,696,46,79,1.6,64,143,49,2783,93,74,1,138,118,13,192,213858,14,136,1,2,1,8,1,0,1,1,0
D,4,3,26,395160,37,90,1.7,64,143,0,2807,44,31,1,0,0,0,84,1068,14,106842,1,21,1,0,0,0,0,0,0
E,5,3,21,4529,31,70,2.2,85,120,14,1853,79,57,1,177,138,10,83,1691,14,8892,1,5,1,1,1,0,1,0,0
F,6,5,29,146567,28,68,2.3,19,159,7,2710,17,34,1,485,482,6,17,4604,41,1173647,1,6,1,0,0,0,0,1,1
G,7,5,29,25755,22,90,2.7,35,163,7,1787,25,47,1,158,154,19,2,6256,14,261064,1,5,1,0,0,1,0,1,1
H,8,5,31,355,18,59,2.8,45,153,0,9,93,77,1,6,1,0,0,3,14,54,1,18,0,0,0,1,1,0,1
I,9,5,43,936,18,54,4.6,60,260,0,450,56,57,1,210,178,5,87,11013,41,18188,1,6,1,3,1,0,0,1,1
J,10,5,26,68359,17,44,4.7,110,161,44,1148,27,32,1,719,715,57,35,6647,14,122341,0,6,1,0,0,0,1,1,1
K,91,5,36,57718,15,41,4.9,112,251,0,856,18,33,1,457,453,23,2348,63862,41,99924,1,5,1,6,1,0,0,0,0
L,92,5,25,155648,15,41,4.6,74,144,59,9527,29,37,1,227,124,23,83,2003,14,67807,1,8,1,0,0,0,1,0,0
M,93,5,22,155648,12,28,4.6,55,149,40,8196,29,37,1,223,132,26,133,601,14,67807,1,8,1,0,0,0,1,0,0
N,94,5,1,62162,9,38,3.7,23,0,0,756,21,39,0,164,136,27,189122,334798,14,411234,1,19,1,5,1,0,0,0,0
O,95,5,23,89255,9,60,4.3,42,142,42,2634,53,43,1,125,107,11,0,0,14,198484,1,19,1,9,1,0,1,0,0
P,96,5,28,574,7,58,2.9,95,153,83,1600,92,68,1,179,89,24,6,2160,14,142,1,15,1,7,1,0,0,0,0
Q,97,5,28,513349,31,33,7.5,58,162,0,1089,31,36,1,250,228,24,943,9002,14,1064334,1,19,1,0,0,0,0,0,0
R,98,5,22,20,33,79,1.5,61,120,37,396,93,78,1,26,16,5,2260,39753,14,39,0,19,0,0,0,0,0,0,0
S,99,5,27,118133,17,61,7.8,49,161,6,1034,37,51,1,248,242,51,19155,66237,17,539839,1,7,1,0,0,0,0,0,0
T,100,5,27,2825,13,90,3.1,98,153,70,1655,76,53,1,329,258,33,34,3,14,2673,1,15,1,10,1,1,0,0,0
A,1,1,26,40718,81,99,0.8,60,155,41,8467,61,48,1,324,187,55,31,1594,14,26076,1,20,1,12,1,1,1,1,1
B,2,3,25,15308,39,84,0.8,55,155,30,4182,72,44,1,462,399,110,1458,3439,14,87533,1,2,1,14,1,1,1,1,1
C,3,3,33,696,32,76,1.4,64,143,49,2783,93,74,1,138,118,13,1254,213858,14,136,1,2,1,8,1,0,1,1,0
D,4,3,21,394450,32,73,2.3,45,140,36,3436,12,24,1,130,97,36,119,531,14,359845,1,2,1,9,1,1,1,0,1
E,5,3,24,103080,31,63,2.3,67,155,0,1765,40,39,1,0,10,0,11,58,14,129888,1,21,1,0,0,0,1,0,0
F,6,5,27,13,29,99,2.8,51,159,39,1565,98,89,1,364,0,3,7,11497,40,1,1,28,1,3,1,1,1,1,1
G,7,5,31,82,29,54,2.8,111,205,76,756,91,68,1,1,1,19,5,0,14,1920,0,5,1,2,1,0,1,0,0
H,8,5,29,82,25,54,3.3,87,186,57,457,91,68,1,95,77,14,0,0,14,1920,0,5,1,2,1,0,1,0,0
I,9,5,24,1916,21,45,3.7,70,150,36,4793,93,77,1,356,253,45,0,1956,14,556,1,2,1,6,1,1,1,1,1
J,10,5,22,1784606,21,30,4.4,127,156,0,15,11,5,0,1,1,0,0,0,26,5247774,0,2,1,0,0,0,1,0,0
K,91,5,24,44908,15,51,5.3,49,159,13,3587,24,36,1,463,458,6,5,2163,41,397044,0,6,1,6,1,0,0,0,0
L,92,5,18,1338901,13,52,6.5,103,120,71,1654,23,29,0,173,157,19,0,0,14,1661103,0,19,1,8,1,0,1,0,0
M,93,5,41,148,13,52,2.6,92,230,32,489,94,77,1,109,86,17,6,52,14,7,1,24,1,3,1,1,1,1,1
N,94,5,34,183536,10,71,1.8,51,268,0,528,20,33,1,70,31,39,3181,17836,14,91296,1,5,1,0,0,0,0,0,0
O,95,5,2,0,100,100,0.4,10,10,0,3255,16,17,0,0,0,0,0,0,30,1181613,0,19,1,0,0,0,0,0,0
P,96,5,23,5325,4,4,7.1,81,135,83,2289,89,66,1,256,212,11,47,0,14,376,1,2,1,5,1,0,0,0,0
Q,97,5,21,4844950,55,70,2.7,61,144,0,2807,29,25,0,1,1,0,0,0,14,3803195,0,16,1,0,0,0,1,0,0
R,98,5,1,0,100,100,0.8,14,0,0,896,14,17,0,0,0,0,0,0,30,5651949,0,19,1,0,0,0,0,0,0
S,99,5,3,0,100,100,0.6,17,17,0,234,13,17,0,0,0,0,0,0,30,6864497,0,19,1,0,0,0,0,0,0
T,100,5,20,143761,23,72,8.5,33,147,0,7974,44,49,1,3666,3645,20,93350,53777,14,2627629,0,2,1,2,1,0,0,0,0
A,1,1,24,47392,85,100,1.5,69,155,63,1461,59,44,1,141,133,0,81,152,40,18876,1,22,1,6,1,1,0,1,1
B,2,5,24,4262,83,38,1,76,147,47,2000,86,61,1,148,103,12,81,448,14,1594,1,6,1,5,1,1,0,0,0
C,3,5,31,82,82,63,1,111,205,76,742,91,68,1,1,1,17,20,0,14,1920,0,5,1,2,1,0,1,1,0
D,4,5,32,386,79,59,1.3,98,214,0,234,75,72,1,1,1,0,1,0,14,1340,1,6,1,0,0,0,1,0,0
E,5,5,19,41,64,77,2.6,62,117,17,2454,92,70,1,495,387,108,0,0,26,829,1,5,1,0,0,0,1,0,0
F,6,5,28,6,43,94,2.8,77,155,0,48,96,100,1,1,1,0,0,0,14,5,1,24,0,0,0,0,0,0,0
G,7,5,17,6170923,40,63,3.2,67,146,29,644,27,46,1,98,88,3,0,0,13,6828115,1,2,1,4,1,0,1,0,0
H,8,3,24,4262,32,37,3.2,76,147,47,2000,86,61,1,148,103,12,0,448,14,1594,1,6,1,5,1,1,0,0,1
I,9,3,24,0,31,92,3.4,94,150,50,935,17,20,1,88,75,3,1,16,14,2798162,1,21,1,10,1,1,0,0,1
J,10,3,25,3382,30,83,5.1,125,175,14,1007,91,64,1,268,229,39,5692,10754,14,3862,1,19,1,3,1,0,0,1,1
K,91,5,46,5429337,17,100,6.1,8,275,8,6843,12,14,1,28,28,0,0,0,30,6418016,0,19,1,0,0,0,0,0,0
L,92,5,15,18,10,25,8.1,60,72,53,257,91,90,1,68,25,4,0,0,14,29,1,24,1,0,0,0,1,0,0
M,93,5,3,0,100,100,0.5,18,18,0,23423,14,17,0,0,0,0,0,0,30,5651949,0,19,1,0,0,0,0,0,0
N,94,5,9,0,100,100,0.8,41,41,0,46798,13,17,0,0,0,0,0,0,30,3918898,0,19,1,0,0,0,0,0,0
O,95,5,24,547162,6,21,4.4,69,139,55,927,64,53,1,267,254,19,0,0,13,356590,1,15,1,4,1,0,0,0,0
P,96,5,1,0,100,100,0.6,9,0,0,70173,16,17,0,0,0,0,0,0,30,4341456,0,19,1,0,0,0,0,0,0
Q,97,5,66,0,100,100,0.5,22,360,22,4187,5,9,1,0,0,0,0,0,30,6196834,0,19,1,0,0,0,0,0,0
R,98,5,3,0,100,100,0.5,17,17,0,93548,13,17,0,0,0,0,0,0,30,6864497,0,19,1,0,0,0,0,0,0
S,99,5,30,2002,5,43,2.3,48,167,38,567,85,64,1,66,61,10,0,23,14,608,1,21,1,5,1,0,1,0,0
T,100,5,24,50135,51,82,1.5,57,141,57,2874,40,26,1,4,33,32,8,330,26,4763819,1,2,1,11,1,1,1,0,0
A,1,5,27,3175,99,45,1.2,53,158,53,4522,87,63,1,212,136,0,910,3037,14,4007,1,2,1,4,1,1,0,1,1
B,2,3,12,3813,88,99,1.5,32,61,21,2638,89,59,1,113,84,6,784,2608,14,900,1,2,1,5,1,1,1,1,1
C,3,3,21,2577,85,99,1.7,52,131,17,2314,89,67,1,143,129,2,449,2633,14,1384,1,2,1,9,1,1,1,1,1
D,4,3,11,574,49,65,1.7,58,49,63,3571,92,68,1,198,113,31,431,13319,14,142,1,15,1,7,1,1,1,1,1
E,5,3,36,9972,40,99,2.7,75,196,22,1486,87,54,1,124,111,11,315,4575,26,11306,1,2,1,13,1,1,1,1,1
F,6,5,28,13,35,99,2.7,32,162,20,3134,98,89,1,1080,1055,4,257,4743,40,1,1,28,1,3,1,1,1,1,1
G,7,5,28,4262,32,45,3.1,61,144,48,6714,86,61,1,374,98,104,143,2986,14,1594,1,6,1,6,1,1,1,1,1
H,8,5,22,574,28,44,3.1,80,112,68,4758,92,68,1,325,117,61,102,8065,14,142,1,15,1,6,1,1,1,1,1
I,9,5,26,5572,27,40,3.2,64,50,38,22958,86,61,1,3178,3149,50,13429,1569,35,3227,1,2,1,3,1,1,0,0,1
J,10,5,21,17895,23,40,3.7,60,115,46,3126,89,66,1,198,144,28,1053,13220,14,8097,1,2,1,4,1,1,1,1,1
K,91,5,21,2846,21,30,6.3,44,129,91,401,84,59,1,134,126,1,1022907,4247149,14,1587,0,2,1,2,1,0,0,0,0
L,92,5,26,48312,19,24,5.5,56,127,38,1429,52,43,1,148,104,9,73,975,14,125059,1,2,1,9,1,1,1,0,0
M,93,5,29,1319,18,17,4.8,96,154,0,48,76,53,1,0,0,0,409,227,14,558,1,15,1,0,0,1,1,1,1
N,94,5,25,9992,18,74,1.1,78,138,53,733,92,61,1,173,35,15,482,4278,14,8664,1,21,1,1,1,1,1,0,0
O,95,5,14,1902935,14,43,2.2,93,96,82,2346,9,15,1,1,1,8,0,0,14,8308955,0,19,1,13,1,1,1,1,1
P,96,5,26,4212,14,63,1.6,117,154,95,1197,91,70,1,116,94,7,183,8,40,1352,1,2,1,10,1,1,0,0,0
Q,97,5,30,3813348,100,98,0.9,48,133,0,23423,17,28,1,0,0,0,0,0,14,11287908,0,2,1,0,0,1,0,1,1
R,98,5,14,4487,16,42,3.6,84,78,79,5668,92,72,1,631,85,14,418,11,14,2869,1,2,1,2,1,0,1,0,1
S,99,5,22,71308,38,34,1.5,14,141,14,471,56,47,1,73,27,20,14113,962992,14,30335,1,19,1,0,0,0,0,0,0
T,100,5,24,37142,14,35,1.5,56,142,42,1151,89,34,1,23,345,23,6,32,14,22690,1,2,1,5,1,1,0,1,0
A,1,1,25,1320108,81,97,0.7,54,145,54,6848,31,30,1,786,501,84,12,88,14,770165,1,21,1,5,1,1,1,1,1
B,2,5,24,1495,79,49,0.9,66,166,51,1952,93,76,1,119,89,7,556,85,14,307,1,11,1,8,1,1,0,0,1
C,3,5,17,716851,28,65,2.2,64,143,47,1562,11,29,1,194,165,29,370,0,26,381704,0,7,1,5,1,1,0,1,1
D,4,5,26,66,28,9,2.8,55,149,47,2516,96,81,1,1,1,8,302,3,14,31,1,11,1,5,1,1,0,0,1
E,5,5,28,72323,26,63,2.9,262,160,0,1067,55,47,1,1,1,0,54,439,14,16657,1,15,1,0,0,1,0,0,1
F,6,3,31,551097,24,68,3.9,104,187,50,1116,27,34,1,111,89,13,38,793,14,224945,1,11,1,8,1,1,0,1,1
G,7,3,18,50839,22,99,4.7,48,115,15,5679,66,57,1,159,104,30,5,52,14,7038,1,21,1,1,1,0,0,1,1
H,8,5,7,242,19,46,5.1,93,49,81,1439,94,78,1,228,121,19,0,245,14,60,1,15,1,7,1,1,0,0,1
I,9,5,50,373370,19,97,6.6,55,298,44,1099,63,47,0,159,142,22,27,75,14,124324,1,21,1,7,1,1,0,1,1
J,10,5,17,232801,16,59,1.5,71,93,48,781,50,32,1,234,23,14,21,403,40,117031,1,2,1,10,1,1,1,1,1
K,91,5,29,33526,16,35,1.7,80,160,60,13536,72,51,1,316,189,65,5,5707,14,4619,1,21,1,1,1,0,0,0,0
L,92,5,11,35191,15,77,4.1,41,73,0,3882,74,59,1,462,414,5,335,1304,14,5355,1,15,1,2,1,0,0,0,0
M,93,5,13,6563,14,34,6.2,70,79,54,1548,81,62,1,161,121,18,2,4,14,1202,1,13,1,11,1,1,0,1,1
N,94,5,29,1023854,14,25,2.9,43,205,0,1759,50,45,1,468,365,42,259939,11533,14,609584,1,21,1,0,0,0,0,0,0
O,95,5,21,1684,10,29,6.5,62,133,0,5814,94,79,1,751,704,3,82810026,8936259,14,207,1,21,1,3,1,0,0,0,0
P,96,5,36,409,10,56,1.4,27,208,22,983,94,76,1,289,153,79,488,207,14,128,1,21,1,3,1,0,0,0,0
Q,97,5,17,1137,8,66,1.7,19,112,8,2235,93,74,1,225,208,35,2832,31383,35,1950,1,15,1,0,0,0,0,0,0
R,98,5,8,8204,6,47,1.8,45,47,40,4454,88,60,1,167,81,35,634,1807,14,3020,1,21,1,9,1,0,0,0,0
S,99,5,24,30559,28,34,3.9,76,144,76,1099,85,60,1,170,122,15,3,0,14,55859,1,21,1,9,1,0,0,0,0
T,100,5,73,15326,31,66,1.5,109,485,81,1304,90,45,1,456,234,5,7,0,54,2386,0,2,1,0,0,1,0,1,1
A,1,1,22,44,70,70,8.3,66,138,54,2400,98,69,1,167,107,18,121,12,14,218,1,7,1,12,1,1,0,1,1
B,2,3,27,9404,49,58,1,80,146,59,1625,68,56,1,134,124,3,631,269,14,11468,1,7,1,10,1,1,1,1,1
C,3,3,23,294991,46,57,1,61,145,50,4155,50,45,1,158,74,37,87,3583,14,212968,1,21,1,9,1,1,1,1,0
D,4,3,57,3193813,45,48,1,57,358,16,2416,10,17,1,1,1,13,52,1160,13,1242962,1,7,1,6,1,1,0,1,1
E,5,3,34,276,44,41,1.1,94,221,0,347,93,77,1,1,1,0,28,0,14,178,1,21,0,0,0,0,0,0,1
F,6,5,23,3418425,41,36,1.3,44,139,36,490,31,30,1,65,54,4,21,37,20,2981658,0,7,1,6,1,1,0,1,1
G,7,2,32,355,37,35,1.7,59,163,0,9,93,77,1,6,1,0,0,0,14,54,1,18,0,0,0,1,1,1,1
H,8,2,23,156,29,34,2.6,78,130,78,4350,93,74,1,190,173,3,0,0,35,675,1,7,1,7,1,1,1,0,0
I,9,2,22,156,28,27,3,130,133,130,9137,93,74,1,275,258,3,0,0,35,675,1,7,1,7,1,1,0,0,0
J,10,5,28,156,27,45,3.2,45,209,39,4236,93,74,1,166,152,5,17,5,35,675,1,7,1,3,1,1,0,0,0
K,91,5,26,2878,18,72,2.1,103,158,81,1266,91,57,1,74,58,4,8,0,17,1431,1,15,1,5,1,1,0,0,1
L,92,5,24,126017,15,75,2.1,63,160,0,1067,67,47,1,0,0,0,11,0,17,13179,0,7,1,0,0,0,0,0,0
M,93,5,19,1423113,15,33,8.3,65,120,0,3255,34,32,0,0,0,0,17,0,40,1815959,0,21,1,0,0,0,0,0,0
N,94,5,8,130063,14,73,3.8,73,62,32,5578,64,50,1,170,164,36,5,0,14,174118,0,21,1,0,0,0,0,1,1
O,95,5,26,21969,13,49,2.2,29,161,11,515,75,40,0,18,18,0,1,0,42,127097,0,21,1,0,0,0,0,0,1
P,96,5,27,3469,13,51,3.6,87,171,66,1373,91,38,1,42,34,5,3,11,14,2535,1,7,1,6,1,0,0,0,0
Q,97,5,25,1686953,12,65,5.7,85,149,60,1171,11,25,1,107,78,13,0,0,14,2610475,1,7,1,8,1,1,0,0,1
R,98,5,21,26343,8,55,3.1,123,136,81,5131,72,63,1,431,374,31,0,0,14,17730,0,13,1,0,0,0,0,0,1
S,99,5,22,12209,61,82,2.8,59,148,0,2807,70,49,1,0,0,0,0,0,40,35793,0,21,1,0,0,0,0,1,1
T,100,5,20,66,16,50,5.4,58,114,52,2050,96,81,1,1,1,28,200,0,14,31,1,11,1,4,1,0,0,0,1
A,1,1,23,294991,88,97,0.6,61,145,50,4155,50,45,1,158,74,37,59,3583,14,212968,1,21,1,9,1,1,1,1,1
B,2,3,19,270,87,89,0.7,26,113,15,1174,92,72,1,162,149,6,631,23343,14,60,1,21,1,0,0,1,0,0,0
C,3,3,26,32244,81,89,1.1,61,163,32,1998,52,46,1,123,105,3,302,23,14,32644,1,21,1,7,1,1,1,1,1
D,4,3,21,6542,73,88,1.4,53,115,53,1584,66,48,1,205,161,27,291,433,14,1378,1,3,1,0,0,1,0,1,1
E,5,3,27,89837,71,88,1.6,68,155,57,1016,74,60,1,63,49,2,283,1,14,71868,1,21,1,6,1,1,0,0,1
F,6,5,19,270,64,62,1.6,26,113,15,1174,92,72,1,162,149,6,283,23343,14,60,1,21,1,0,0,1,0,0,0
G,7,2,26,13,59,88,1.8,27,172,15,9907,98,89,1,1425,1123,27,119,27235,40,1,1,28,1,3,1,1,0,1,0
H,8,5,26,28261,29,97,2.4,54,141,54,727,62,53,1,56,39,2,63,1,14,18867,1,15,1,9,1,1,0,0,1
I,9,2,18,50839,25,100,2.4,48,115,15,5679,66,57,1,159,104,30,4,52,14,7038,1,21,1,1,1,1,0,1,1
J,10,5,29,2713,20,55,2.9,53,197,15,1227,90,66,1,289,232,3,4,85,14,804,1,21,1,5,1,1,1,1,1
K,91,5,23,51677,20,18,3.1,54,123,54,1514,57,49,1,131,112,14,47,70,14,328712,1,21,1,3,1,1,1,0,1
L,92,5,20,21919,17,73,3.5,44,140,0,1765,75,62,1,0,0,0,0,0,14,42971,0,21,1,0,0,1,0,0,0
M,93,5,20,105986,17,31,1.6,88,135,0,76,66,48,1,41,28,0,799,441,14,26627,0,11,1,0,0,0,0,0,0
N,94,5,24,1495,13,53,2.1,66,166,51,1952,93,76,1,119,89,7,6148,85,14,307,1,11,1,8,1,1,0,0,1
O,95,5,22,89837,10,66,2.4,33,135,22,1088,74,60,1,68,52,2,6,0,14,71868,1,21,1,6,1,1,1,0,0
P,96,5,28,708554,10,41,4.4,78,147,52,3848,24,32,1,590,485,83,0,2,36,1485170,1,15,1,0,0,1,0,0,1
